                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
149,1.0276,0.56892,0.84078,0.81223,0.792,0.82288,0.40783,1.6893,0.88936,0.96186,0.000232,0.000232,0.000232
148,1.0294,0.57805,0.83647,0.81552,0.79699,0.82238,0.40559,1.6938,0.89119,0.96238,0.000298,0.000298,0.000298
147,1.0421,0.58785,0.84628,0.79851,0.80376,0.82077,0.40815,1.6836,0.88423,0.96082,0.000364,0.000364,0.000364
146,1.0146,0.57636,0.83497,0.79228,0.80563,0.82015,0.40797,1.6917,0.88566,0.96283,0.00043,0.00043,0.00043
145,1.0214,0.58065,0.84121,0.81172,0.80282,0.81986,0.40658,1.6885,0.89651,0.9641,0.000496,0.000496,0.000496
144,1.0275,0.58207,0.83768,0.81178,0.79437,0.81925,0.40528,1.6849,0.87448,0.96433,0.000562,0.000562,0.000562
143,1.0691,0.59634,0.84621,0.80628,0.80895,0.81634,0.40574,1.6814,0.8833,0.96436,0.000628,0.000628,0.000628
142,1.0619,0.59942,0.83626,0.81251,0.79718,0.8163,0.40223,1.6891,0.89074,0.96354,0.000694,0.000694,0.000694
141,1.0605,0.58771,0.8489,0.7974,0.80563,0.81486,0.40671,1.6921,0.90057,0.96587,0.00076,0.00076,0.00076
140,1.0902,0.60996,0.84901,0.79695,0.79603,0.81381,0.40816,1.6867,0.86215,0.96262,0.000826,0.000826,0.000826
139,1.0887,0.61601,0.84066,0.817,0.78592,0.81218,0.40498,1.6897,0.87046,0.96351,0.000892,0.000892,0.000892
138,1.1035,0.6052,0.84507,0.80924,0.79155,0.81124,0.40051,1.681,0.87167,0.96077,0.000958,0.000958,0.000958
137,1.0893,0.62474,0.84903,0.80757,0.7684,0.81114,0.39761,1.6947,0.88886,0.9628,0.001024,0.001024,0.001024
136,1.0989,0.62402,0.84769,0.7779,0.78931,0.80942,0.39552,1.6939,0.88569,0.96548,0.00109,0.00109,0.00109
135,1.0973,0.61607,0.83909,0.79161,0.78592,0.80911,0.39863,1.6915,0.88904,0.96774,0.001156,0.001156,0.001156
134,1.1112,0.63011,0.84808,0.78367,0.80845,0.80866,0.40334,1.6614,0.86809,0.95842,0.001222,0.001222,0.001222
133,1.1244,0.6365,0.85131,0.83145,0.77814,0.80859,0.40043,1.6706,0.88902,0.95578,0.001288,0.001288,0.001288
132,1.1388,0.65312,0.85329,0.8231,0.77746,0.80668,0.40206,1.6767,0.89848,0.95898,0.001354,0.001354,0.001354
131,1.126,0.63519,0.85644,0.79443,0.78592,0.80602,0.39838,1.6693,0.89131,0.95478,0.00142,0.00142,0.00142
130,1.1383,0.63565,0.85738,0.80174,0.79155,0.80542,0.39695,1.6907,0.89526,0.96171,0.001486,0.001486,0.001486
129,1.1582,0.6548,0.85685,0.79922,0.77367,0.80535,0.38679,1.6904,0.89235,0.96131,0.001552,0.001552,0.001552
128,1.1582,0.6659,0.85815,0.83685,0.77746,0.80509,0.38943,1.6801,0.90064,0.96275,0.001618,0.001618,0.001618
127,1.1629,0.65486,0.85774,0.80299,0.78073,0.80461,0.39203,1.682,0.89377,0.95891,0.001684,0.001684,0.001684
